year,Season_type,RANK,PLAYER,"['TEAM', 'GP', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'AST_TOV']"
2012-13,Playoffs,31,Brook Lopez,"['BKN', '7', '263', '58', '123', '0.472', '1', '1', '1.0', '39', '44', '0.886', '29', '23', '52', '10', '6', '21', '16', '20', '156', '0.63']"
2012-13,Playoffs,32,Kevin Martin,"['OKC', '11', '323', '49', '129', '0.38', '17', '46', '0.37', '39', '43', '0.907', '2', '32', '34', '14', '7', '3', '11', '18', '154', '1.27']"
2012-13,Playoffs,32,Tony Allen,"['MEM', '15', '422', '54', '125', '0.432', '2', '8', '0.25', '44', '58', '0.759', '37', '54', '91', '27', '30', '5', '19', '48', '154', '1.42']"
2012-13,Playoffs,34,Reggie Jackson,"['OKC', '11', '368', '57', '119', '0.479', '13', '43', '0.302', '26', '29', '0.897', '4', '50', '54', '40', '5', '6', '21', '34', '153', '1.91']"
2012-13,Playoffs,35,Deron Williams,"['BKN', '7', '292', '45', '106', '0.425', '17', '43', '0.395', '37', '45', '0.822', '1', '21', '22', '59', '7', '4', '21', '17', '144', '2.81']"
2012-13,Playoffs,36,Gary Neal,"['SAS', '21', '390', '52', '135', '0.385', '23', '66', '0.348', '16', '16', '1.0', '1', '44', '45', '15', '3', '1', '13', '33', '143', '1.15']"
2012-13,Playoffs,37,Carl Landry,"['GSW', '12', '246', '52', '100', '0.52', '0', '0', '0.0', '38', '52', '0.731', '22', '40', '62', '17', '7', '2', '19', '29', '142', '0.9']"
2012-13,Playoffs,38,Serge Ibaka,"['OKC', '11', '366', '59', '135', '0.437', '4', '9', '0.444', '19', '24', '0.792', '39', '53', '92', '8', '0', '33', '7', '38', '141', '1.14']"
2012-13,Playoffs,39,Jerryd Bayless,"['MEM', '15', '320', '49', '137', '0.358', '18', '59', '0.305', '23', '26', '0.885', '1', '29', '30', '32', '7', '5', '16', '35', '139', '2.0']"
2012-13,Playoffs,40,Chris Paul,"['LAC', '6', '224', '49', '92', '0.533', '6', '19', '0.316', '33', '37', '0.892', '3', '21', '24', '38', '11', '0', '9', '17', '137', '4.22']"
2012-13,Playoffs,41,Marco Belinelli,"['CHI', '12', '325', '44', '107', '0.411', '16', '47', '0.34', '29', '33', '0.879', '0', '35', '35', '31', '5', '0', '15', '26', '133', '2.07']"
2012-13,Playoffs,41,Quincy Pondexter,"['MEM', '15', '357', '46', '94', '0.489', '24', '53', '0.453', '17', '28', '0.607', '9', '29', '38', '11', '11', '2', '9', '31', '133', '1.22']"
2012-13,Playoffs,43,Joakim Noah,"['CHI', '12', '409', '52', '119', '0.437', '0', '0', '0.0', '25', '39', '0.641', '52', '63', '115', '28', '10', '26', '24', '43', '129', '1.17']"
2012-13,Playoffs,43,Norris Cole,"['MIA', '21', '418', '49', '102', '0.48', '17', '32', '0.531', '14', '19', '0.737', '6', '33', '39', '42', '15', '2', '23', '40', '129', '1.83']"
2012-13,Playoffs,45,Chris Andersen,"['MIA', '20', '303', '46', '57', '0.807', '0', '0', '0.0', '36', '49', '0.735', '32', '44', '76', '3', '9', '22', '11', '53', '128', '0.27']"
2012-13,Playoffs,45,Ty Lawson,"['DEN', '6', '236', '48', '109', '0.44', '4', '21', '0.19', '28', '33', '0.848', '5', '15', '20', '48', '10', '0', '13', '13', '128', '3.69']"
2012-13,Playoffs,47,Jeff Green,"['BOS', '6', '258', '37', '85', '0.435', '10', '22', '0.455', '38', '45', '0.844', '6', '26', '32', '14', '2', '4', '19', '22', '122', '0.74']"
2012-13,Playoffs,48,Tiago Splitter,"['SAS', '19', '388', '45', '84', '0.536', '0', '1', '0.0', '26', '33', '0.788', '21', '37', '58', '23', '15', '14', '24', '46', '116', '0.96']"
2012-13,Playoffs,49,Paul Pierce,"['BOS', '6', '255', '39', '106', '0.368', '11', '41', '0.268', '26', '29', '0.897', '4', '30', '34', '32', '5', '3', '32', '21', '115', '1.0']"
2012-13,Playoffs,50,Iman Shumpert,"['NYK', '12', '337', '41', '100', '0.41', '18', '42', '0.429', '12', '14', '0.857', '18', '54', '72', '16', '13', '3', '14', '36', '112', '1.14']"
2012-13,Playoffs,51,Udonis Haslem,"['MIA', '22', '357', '51', '86', '0.593', '0', '0', '0.0', '8', '14', '0.571', '26', '54', '80', '6', '15', '5', '14', '54', '110', '0.43']"
2012-13,Playoffs,52,Chandler Parsons,"['HOU', '6', '238', '42', '93', '0.452', '16', '40', '0.4', '9', '14', '0.643', '7', '32', '39', '22', '1', '2', '18', '19', '109', '1.22']"
2012-13,Playoffs,53,Andre Iguodala,"['DEN', '6', '243', '38', '76', '0.5', '14', '29', '0.483', '18', '25', '0.72', '9', '39', '48', '32', '12', '2', '17', '9', '108', '1.88']"
2012-13,Playoffs,54,Tayshaun Prince,"['MEM', '15', '454', '43', '121', '0.355', '5', '19', '0.263', '14', '23', '0.609', '12', '45', '57', '29', '7', '5', '10', '18', '105', '2.9']"
2012-13,Playoffs,55,Joe Johnson,"['BKN', '7', '271', '43', '103', '0.417', '10', '39', '0.256', '8', '9', '0.889', '4', '18', '22', '19', '8', '0', '12', '13', '104', '1.58']"
2012-13,Playoffs,56,Shane Battier,"['MIA', '22', '392', '27', '93', '0.29', '26', '88', '0.295', '23', '28', '0.821', '9', '29', '38', '12', '5', '6', '5', '49', '103', '2.4']"
2012-13,Playoffs,57,Josh Smith,"['ATL', '6', '199', '39', '90', '0.433', '5', '20', '0.25', '19', '36', '0.528', '10', '35', '45', '21', '11', '3', '16', '21', '102', '1.31']"
2012-13,Playoffs,58,Al Horford,"['ATL', '6', '218', '41', '83', '0.494', '0', '0', '0.0', '18', '27', '0.667', '12', '41', '53', '18', '6', '5', '9', '17', '100', '2.0']"
2012-13,Playoffs,59,D.J. Augustin,"['IND', '19', '316', '27', '71', '0.38', '19', '48', '0.396', '25', '31', '0.806', '2', '13', '15', '13', '7', '0', '10', '26', '98', '1.3']"
2012-13,Playoffs,60,Derek Fisher,"['OKC', '11', '261', '32', '70', '0.457', '24', '51', '0.471', '8', '12', '0.667', '1', '16', '17', '8', '7', '1', '8', '33', '96', '1.0']"
2012-13,Playoffs,61,Andrew Bogut,"['GSW', '12', '327', '39', '67', '0.582', '0', '0', '0.0', '8', '23', '0.348', '39', '92', '131', '22', '6', '18', '22', '39', '86', '1.0']"
2012-13,Playoffs,62,Andre Miller,"['DEN', '6', '154', '29', '69', '0.42', '5', '11', '0.455', '21', '27', '0.778', '11', '9', '20', '23', '2', '0', '16', '8', '84', '1.44']"
2012-13,Playoffs,62,Gerald Wallace,"['BKN', '7', '243', '31', '67', '0.463', '11', '29', '0.379', '11', '20', '0.55', '5', '23', '28', '17', '8', '5', '9', '20', '84', '1.89']"
