year,Season_type,RANK,PLAYER,"['TEAM', 'GP', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'AST_TOV']"
2015-16,Playoffs,59,Al Jefferson,"['CHA', '7', '168', '42', '83', '0.506', '0', '0', '0.0', '9', '13', '0.692', '14', '29', '43', '8', '4', '3', '6', '12', '93', '1.33']"
2015-16,Playoffs,59,Festus Ezeli,"['GSW', '23', '203', '37', '69', '0.536', '0', '0', '0.0', '19', '44', '0.432', '23', '38', '61', '8', '1', '7', '14', '34', '93', '0.57']"
2015-16,Playoffs,59,Josh Richardson,"['MIA', '14', '387', '33', '89', '0.371', '17', '46', '0.37', '10', '14', '0.714', '10', '40', '50', '22', '6', '13', '12', '37', '93', '1.83']"
2015-16,Playoffs,62,Justise Winslow,"['MIA', '13', '330', '32', '74', '0.432', '5', '18', '0.278', '21', '30', '0.7', '17', '46', '63', '8', '8', '4', '12', '35', '90', '0.67']"
2015-16,Playoffs,63,Jeremy Lin,"['CHA', '7', '189', '26', '63', '0.413', '3', '14', '0.214', '32', '39', '0.821', '3', '13', '16', '18', '5', '0', '11', '21', '87', '1.64']"
2015-16,Playoffs,64,Danny Green,"['SAS', '10', '267', '30', '65', '0.462', '24', '48', '0.5', '2', '3', '0.667', '0', '31', '31', '7', '21', '8', '6', '20', '86', '1.17']"
2015-16,Playoffs,65,JJ Redick,"['LAC', '6', '166', '34', '79', '0.43', '11', '31', '0.355', '2', '3', '0.667', '1', '11', '12', '5', '1', '1', '5', '11', '81', '1.0']"
2015-16,Playoffs,65,Monta Ellis,"['IND', '7', '225', '33', '76', '0.434', '7', '21', '0.333', '8', '10', '0.8', '4', '23', '27', '30', '15', '0', '17', '17', '81', '1.76']"
2015-16,Playoffs,67,Evan Turner,"['BOS', '6', '214', '31', '85', '0.365', '3', '14', '0.214', '14', '18', '0.778', '8', '26', '34', '27', '8', '6', '17', '19', '79', '1.59']"
2015-16,Playoffs,68,Matthew Dellavedova,"['CLE', '20', '241', '26', '74', '0.351', '8', '31', '0.258', '18', '24', '0.75', '4', '11', '15', '56', '1', '1', '14', '31', '78', '4.0']"
2015-16,Playoffs,69,Mason Plumlee,"['POR', '11', '306', '28', '70', '0.4', '0', '0', '0.0', '21', '33', '0.636', '37', '93', '130', '53', '7', '11', '25', '42', '77', '2.12']"
2015-16,Playoffs,70,Gerald Henderson,"['POR', '11', '234', '30', '82', '0.366', '7', '19', '0.368', '9', '12', '0.75', '6', '29', '35', '17', '6', '3', '5', '21', '76', '3.4']"
2015-16,Playoffs,71,Raymond Felton,"['DAL', '5', '172', '32', '69', '0.464', '4', '14', '0.286', '7', '11', '0.636', '2', '21', '23', '23', '6', '0', '12', '14', '75', '1.92']"
2015-16,Playoffs,72,Marcus Smart,"['BOS', '6', '193', '22', '60', '0.367', '11', '32', '0.344', '17', '21', '0.81', '8', '19', '27', '18', '10', '5', '15', '17', '72', '1.2']"
2015-16,Playoffs,72,Myles Turner,"['IND', '7', '197', '33', '71', '0.465', '0', '2', '0.0', '6', '9', '0.667', '16', '29', '45', '3', '2', '23', '12', '24', '72', '0.25']"
2015-16,Playoffs,74,Marcus Morris Sr.,"['DET', '4', '144', '22', '47', '0.468', '7', '18', '0.389', '20', '23', '0.87', '2', '11', '13', '10', '2', '0', '5', '17', '71', '2.0']"
2015-16,Playoffs,75,DeAndre Jordan,"['LAC', '6', '198', '24', '38', '0.632', '0', '0', '0.0', '22', '59', '0.373', '30', '68', '98', '11', '7', '16', '7', '17', '70', '1.57']"
2015-16,Playoffs,75,Iman Shumpert,"['CLE', '21', '367', '25', '60', '0.417', '13', '34', '0.382', '7', '11', '0.636', '10', '37', '47', '17', '10', '3', '13', '36', '70', '1.31']"
2015-16,Playoffs,77,Norman Powell,"['TOR', '18', '206', '27', '70', '0.386', '7', '26', '0.269', '7', '8', '0.875', '4', '23', '27', '6', '13', '2', '5', '18', '68', '1.2']"
2015-16,Playoffs,78,Andre Drummond,"['DET', '4', '131', '28', '54', '0.519', '0', '1', '0.0', '11', '34', '0.324', '12', '24', '36', '0', '1', '6', '4', '8', '67', '0.0']"
2015-16,Playoffs,78,Manu Ginobili,"['SAS', '10', '192', '20', '47', '0.426', '9', '21', '0.429', '18', '23', '0.783', '6', '21', '27', '25', '8', '3', '7', '25', '67', '3.57']"
2015-16,Playoffs,80,Dwight Howard,"['HOU', '5', '180', '26', '48', '0.542', '0', '1', '0.0', '14', '38', '0.368', '26', '44', '70', '8', '4', '7', '12', '21', '66', '0.67']"
2015-16,Playoffs,80,Ian Clark,"['GSW', '16', '154', '26', '53', '0.491', '6', '18', '0.333', '8', '10', '0.8', '2', '15', '17', '16', '8', '0', '9', '18', '66', '1.78']"
2015-16,Playoffs,80,Patty Mills,"['SAS', '10', '167', '23', '53', '0.434', '13', '36', '0.361', '7', '11', '0.636', '0', '14', '14', '20', '7', '0', '8', '3', '66', '2.5']"
2015-16,Playoffs,83,Mike Scott,"['ATL', '10', '161', '25', '40', '0.625', '8', '16', '0.5', '7', '8', '0.875', '5', '27', '32', '5', '3', '3', '8', '20', '65', '0.63']"
2015-16,Playoffs,83,Wesley Matthews,"['DAL', '5', '173', '20', '60', '0.333', '10', '35', '0.286', '15', '19', '0.789', '4', '14', '18', '6', '6', '0', '4', '14', '65', '1.5']"
2015-16,Playoffs,85,Austin Rivers,"['LAC', '6', '144', '26', '61', '0.426', '4', '17', '0.235', '6', '9', '0.667', '4', '12', '16', '16', '3', '0', '7', '12', '62', '2.29']"
2015-16,Playoffs,86,Ed Davis,"['POR', '11', '205', '21', '40', '0.525', '0', '2', '0.0', '19', '33', '0.576', '26', '49', '75', '14', '2', '7', '10', '33', '61', '1.4']"
2015-16,Playoffs,86,Jeff Green,"['LAC', '6', '159', '21', '46', '0.457', '4', '10', '0.4', '15', '25', '0.6', '3', '16', '19', '4', '6', '2', '3', '12', '61', '1.33']"
2015-16,Playoffs,86,Kentavious Caldwell-Pope,"['DET', '4', '161', '22', '50', '0.44', '12', '27', '0.444', '5', '7', '0.714', '2', '15', '17', '11', '7', '1', '2', '7', '61', '5.5']"
2015-16,Playoffs,89,Blake Griffin,"['LAC', '4', '127', '20', '53', '0.377', '1', '2', '0.5', '19', '25', '0.76', '7', '28', '35', '16', '3', '2', '9', '9', '60', '1.78']"
2015-16,Playoffs,89,Courtney Lee,"['CHA', '7', '257', '21', '51', '0.412', '4', '9', '0.444', '14', '15', '0.933', '5', '15', '20', '9', '6', '3', '5', '19', '60', '1.8']"
2015-16,Playoffs,91,Cody Zeller,"['CHA', '7', '137', '21', '38', '0.553', '0', '0', '0.0', '17', '21', '0.81', '9', '28', '37', '2', '1', '3', '7', '20', '59', '0.29']"
2015-16,Playoffs,91,Thabo Sefolosha,"['ATL', '10', '203', '22', '46', '0.478', '7', '19', '0.368', '8', '15', '0.533', '8', '33', '41', '17', '10', '6', '10', '17', '59', '1.7']"
2015-16,Playoffs,91,Tim Duncan,"['SAS', '10', '218', '22', '52', '0.423', '0', '0', '0.0', '15', '21', '0.714', '10', '38', '48', '14', '2', '13', '10', '18', '59', '1.4']"
2015-16,Playoffs,94,David West,"['SAS', '10', '176', '25', '55', '0.455', '3', '6', '0.5', '5', '9', '0.556', '13', '24', '37', '13', '6', '7', '7', '19', '58', '1.86']"
2015-16,Playoffs,94,Tobias Harris,"['DET', '4', '156', '21', '46', '0.457', '4', '12', '0.333', '12', '13', '0.923', '6', '32', '38', '12', '3', '3', '6', '11', '58', '2.0']"
2015-16,Playoffs,96,Ian Mahinmi,"['IND', '7', '172', '21', '42', '0.5', '0', '0', '0.0', '15', '25', '0.6', '12', '24', '36', '8', '5', '6', '14', '25', '57', '0.57']"
2015-16,Playoffs,96,Jae Crowder,"['BOS', '6', '197', '20', '72', '0.278', '10', '41', '0.244', '7', '11', '0.636', '5', '34', '39', '13', '9', '3', '7', '17', '57', '1.86']"
2015-16,Playoffs,96,Nicolas Batum,"['CHA', '5', '144', '17', '45', '0.378', '6', '22', '0.273', '17', '20', '0.85', '2', '16', '18', '10', '2', '0', '8', '6', '57', '1.25']"
2015-16,Playoffs,96,Reggie Jackson,"['DET', '4', '147', '25', '55', '0.455', '3', '18', '0.167', '4', '4', '1.0', '2', '11', '13', '37', '6', '2', '10', '10', '57', '3.7']"
2015-16,Playoffs,100,Jonas Jerebko,"['BOS', '6', '162', '22', '46', '0.478', '7', '22', '0.318', '4', '5', '0.8', '7', '34', '41', '10', '2', '4', '5', '15', '55', '2.0']"
2015-16,Playoffs,101,Solomon Hill,"['IND', '7', '198', '14', '31', '0.452', '11', '19', '0.579', '15', '16', '0.938', '5', '23', '28', '8', '2', '0', '3', '20', '54', '2.67']"
2015-16,Playoffs,102,Lance Stephenson,"['MEM', '4', '95', '23', '44', '0.523', '2', '5', '0.4', '4', '5', '0.8', '1', '5', '6', '7', '1', '0', '3', '10', '52', '2.33']"
2015-16,Playoffs,102,Michael Beasley,"['HOU', '5', '80', '22', '46', '0.478', '2', '6', '0.333', '6', '7', '0.857', '4', '17', '21', '3', '1', '0', '7', '8', '52', '0.43']"
2015-16,Playoffs,102,Zach Randolph,"['MEM', '4', '120', '23', '62', '0.371', '0', '0', '0.0', '6', '7', '0.857', '15', '20', '35', '7', '1', '0', '7', '10', '52', '1.0']"
2015-16,Playoffs,105,Amir Johnson,"['BOS', '6', '134', '22', '33', '0.667', '0', '2', '0.0', '7', '9', '0.778', '11', '32', '43', '4', '1', '8', '10', '13', '51', '0.4']"
2015-16,Playoffs,106,Frank Kaminsky,"['CHA', '7', '190', '14', '46', '0.304', '5', '17', '0.294', '17', '21', '0.81', '3', '27', '30', '8', '6', '5', '2', '15', '50', '4.0']"
2015-16,Playoffs,107,Boris Diaw,"['SAS', '9', '159', '21', '46', '0.457', '2', '6', '0.333', '3', '4', '0.75', '2', '17', '19', '21', '2', '4', '6', '9', '47', '3.5']"
2015-16,Playoffs,107,Justin Anderson,"['DAL', '5', '95', '17', '37', '0.459', '4', '13', '0.308', '9', '14', '0.643', '9', '11', '20', '7', '4', '3', '5', '12', '47', '1.4']"
2015-16,Playoffs,109,Vince Carter,"['MEM', '4', '91', '15', '33', '0.455', '7', '10', '0.7', '8', '8', '1.0', '5', '10', '15', '5', '2', '1', '3', '9', '45', '1.67']"
2015-16,Playoffs,110,Donatas Motiejunas,"['HOU', '5', '98', '16', '37', '0.432', '4', '9', '0.444', '8', '17', '0.471', '10', '16', '26', '5', '4', '2', '12', '11', '44', '0.42']"
2015-16,Playoffs,110,Rodney Stuckey,"['IND', '7', '125', '17', '43', '0.395', '5', '10', '0.5', '5', '9', '0.556', '1', '14', '15', '14', '4', '1', '6', '9', '44', '2.33']"
2015-16,Playoffs,112,Matt Barnes,"['MEM', '4', '139', '16', '46', '0.348', '3', '18', '0.167', '8', '10', '0.8', '5', '24', '29', '11', '4', '1', '13', '13', '43', '0.85']"
2015-16,Playoffs,113,Gerald Green,"['MIA', '12', '110', '16', '49', '0.327', '4', '14', '0.286', '4', '5', '0.8', '2', '15', '17', '1', '4', '1', '2', '14', '40', '0.5']"
2015-16,Playoffs,113,Randy Foye,"['OKC', '16', '190', '14', '41', '0.341', '8', '26', '0.308', '4', '4', '1.0', '2', '18', '20', '13', '2', '3', '11', '18', '40', '1.18']"
2015-16,Playoffs,115,Devin Harris,"['DAL', '5', '121', '15', '30', '0.5', '4', '13', '0.308', '5', '10', '0.5', '1', '13', '14', '8', '3', '0', '3', '16', '39', '2.67']"
2015-16,Playoffs,116,Josh McRoberts,"['MIA', '10', '134', '16', '34', '0.471', '0', '7', '0.0', '6', '6', '1.0', '7', '19', '26', '9', '5', '5', '4', '20', '38', '2.25']"
2015-16,Playoffs,117,Anthony Morrow,"['OKC', '14', '76', '11', '24', '0.458', '5', '14', '0.357', '10', '10', '1.0', '0', '2', '2', '1', '1', '0', '4', '5', '37', '0.25']"
2015-16,Playoffs,117,Kris Humphries,"['ATL', '4', '56', '13', '28', '0.464', '5', '10', '0.5', '6', '6', '1.0', '8', '16', '24', '4', '2', '5', '2', '9', '37', '2.0']"
2015-16,Playoffs,119,Marvin Williams,"['CHA', '7', '228', '14', '51', '0.275', '6', '17', '0.353', '2', '4', '0.5', '7', '41', '48', '6', '6', '3', '2', '11', '36', '3.0']"
2015-16,Playoffs,120,Jason Terry,"['HOU', '5', '124', '13', '38', '0.342', '6', '19', '0.316', '3', '3', '1.0', '1', '10', '11', '6', '2', '1', '3', '13', '35', '2.0']"
2015-16,Playoffs,121,Trevor Ariza,"['HOU', '5', '181', '13', '51', '0.255', '4', '28', '0.143', '3', '4', '0.75', '7', '14', '21', '4', '13', '1', '12', '16', '33', '0.33']"
2015-16,Playoffs,121,Zaza Pachulia,"['DAL', '5', '112', '9', '24', '0.375', '0', '0', '0.0', '15', '17', '0.882', '10', '17', '27', '16', '3', '1', '2', '13', '33', '8.0']"
2015-16,Playoffs,123,Stanley Johnson,"['DET', '4', '81', '12', '23', '0.522', '6', '10', '0.6', '2', '2', '1.0', '0', '16', '16', '0', '1', '0', '3', '10', '32', '0.0']"
2015-16,Playoffs,124,Jared Sullinger,"['BOS', '6', '81', '13', '42', '0.31', '2', '4', '0.5', '3', '4', '0.75', '10', '17', '27', '7', '1', '0', '6', '16', '31', '1.17']"
2015-16,Playoffs,125,Amar'e Stoudemire,"['MIA', '9', '82', '11', '19', '0.579', '0', '0', '0.0', '8', '8', '1.0', '3', '10', '13', '0', '5', '3', '9', '14', '30', '0.0']"
2015-16,Playoffs,125,James Johnson,"['TOR', '10', '98', '12', '25', '0.48', '4', '9', '0.444', '2', '3', '0.667', '3', '12', '15', '6', '3', '0', '7', '13', '30', '0.86']"
2015-16,Playoffs,125,Tony Allen,"['MEM', '4', '94', '10', '33', '0.303', '1', '7', '0.143', '9', '13', '0.692', '6', '5', '11', '3', '5', '2', '6', '11', '30', '0.5']"
2015-16,Playoffs,128,Patrick Beverley,"['HOU', '5', '129', '10', '37', '0.27', '3', '14', '0.214', '6', '6', '1.0', '4', '18', '22', '11', '2', '2', '4', '17', '29', '2.75']"
2015-16,Playoffs,129,Luis Scola,"['TOR', '11', '140', '8', '31', '0.258', '4', '21', '0.19', '8', '11', '0.727', '2', '16', '18', '7', '3', '0', '5', '22', '28', '1.4']"
2015-16,Playoffs,130,JaMychal Green,"['MEM', '4', '72', '12', '22', '0.545', '0', '1', '0.0', '3', '6', '0.5', '5', '10', '15', '3', '3', '5', '4', '12', '27', '0.75']"
2015-16,Playoffs,130,Jordan Farmar,"['MEM', '4', '113', '10', '31', '0.323', '4', '12', '0.333', '3', '3', '1.0', '0', '6', '6', '16', '3', '1', '10', '4', '27', '1.6']"
2015-16,Playoffs,132,J.J. Barea,"['DAL', '4', '100', '11', '34', '0.324', '1', '8', '0.125', '2', '2', '1.0', '0', '6', '6', '20', '0', '0', '11', '8', '25', '1.82']"
2015-16,Playoffs,133,Boban Marjanovic,"['SAS', '7', '42', '8', '12', '0.667', '0', '0', '0.0', '8', '9', '0.889', '4', '10', '14', '3', '0', '2', '3', '10', '24', '1.0']"
2015-16,Playoffs,133,CJ Miles,"['IND', '7', '92', '10', '38', '0.263', '2', '20', '0.1', '2', '3', '0.667', '4', '20', '24', '4', '1', '1', '3', '7', '24', '1.33']"
2015-16,Playoffs,133,Dwight Powell,"['DAL', '4', '64', '9', '19', '0.474', '0', '1', '0.0', '6', '11', '0.545', '9', '8', '17', '4', '1', '0', '1', '5', '24', '4.0']"
2015-16,Playoffs,133,Mike Muscala,"['ATL', '9', '67', '10', '20', '0.5', '2', '6', '0.333', '2', '2', '1.0', '7', '10', '17', '3', '0', '1', '3', '6', '24', '1.0']"
2015-16,Playoffs,133,Terry Rozier,"['BOS', '5', '99', '9', '23', '0.391', '4', '11', '0.364', '2', '2', '1.0', '3', '14', '17', '6', '1', '3', '2', '5', '24', '3.0']"
2015-16,Playoffs,138,Brandon Rush,"['GSW', '14', '110', '9', '20', '0.45', '4', '12', '0.333', '1', '2', '0.5', '0', '23', '23', '3', '2', '2', '2', '9', '23', '1.5']"
2015-16,Playoffs,138,Cole Aldrich,"['LAC', '6', '77', '10', '15', '0.667', '0', '0', '0.0', '3', '6', '0.5', '8', '22', '30', '3', '6', '3', '2', '11', '23', '1.5']"
2015-16,Playoffs,138,Kyle Anderson,"['SAS', '10', '129', '8', '25', '0.32', '1', '3', '0.333', '6', '7', '0.857', '2', '22', '24', '7', '6', '3', '4', '11', '23', '1.75']"
2015-16,Playoffs,141,Corey Brewer,"['HOU', '5', '77', '7', '27', '0.259', '1', '10', '0.1', '7', '8', '0.875', '3', '4', '7', '8', '0', '1', '6', '13', '22', '1.33']"
2015-16,Playoffs,141,Kevin Martin,"['SAS', '5', '49', '8', '20', '0.4', '4', '8', '0.5', '2', '3', '0.667', '0', '4', '4', '3', '1', '0', '6', '5', '22', '0.5']"
2015-16,Playoffs,143,Tyler Johnson,"['MIA', '5', '61', '5', '11', '0.455', '3', '6', '0.5', '8', '11', '0.727', '2', '5', '7', '8', '1', '0', '2', '8', '21', '4.0']"
2015-16,Playoffs,143,Udonis Haslem,"['MIA', '9', '85', '8', '15', '0.533', '0', '0', '0.0', '5', '7', '0.714', '11', '20', '31', '4', '0', '1', '7', '13', '21', '0.57']"
2015-16,Playoffs,145,Anderson Varejao,"['GSW', '17', '93', '5', '14', '0.357', '0', '0', '0.0', '10', '19', '0.526', '12', '9', '21', '13', '2', '2', '2', '17', '20', '6.5']"
2015-16,Playoffs,145,Mo Williams,"['CLE', '13', '68', '8', '28', '0.286', '3', '13', '0.231', '1', '2', '0.5', '0', '6', '6', '3', '4', '0', '10', '8', '20', '0.3']"
2015-16,Playoffs,145,Tim Hardaway Jr.,"['ATL', '9', '87', '7', '26', '0.269', '2', '14', '0.143', '4', '6', '0.667', '0', '9', '9', '7', '0', '1', '3', '2', '20', '2.33']"
2015-16,Playoffs,148,Salah Mejri,"['DAL', '4', '76', '7', '10', '0.7', '0', '0', '0.0', '5', '12', '0.417', '5', '8', '13', '1', '3', '5', '0', '11', '19', '0.0']"
2015-16,Playoffs,148,Xavier Munford,"['MEM', '4', '89', '9', '28', '0.321', '1', '8', '0.125', '0', '2', '0.0', '1', '8', '9', '10', '6', '3', '5', '8', '19', '2.0']"
2015-16,Playoffs,150,Avery Bradley,"['BOS', '1', '33', '7', '16', '0.438', '1', '7', '0.143', '3', '3', '1.0', '2', '1', '3', '1', '1', '1', '1', '2', '18', '1.0']"
2015-16,Playoffs,150,Cameron Payne,"['OKC', '10', '64', '7', '26', '0.269', '2', '10', '0.2', '2', '4', '0.5', '0', '4', '4', '8', '2', '2', '8', '7', '18', '1.0']"
2015-16,Playoffs,150,Spencer Hawes,"['CHA', '5', '53', '6', '13', '0.462', '1', '4', '0.25', '5', '6', '0.833', '3', '13', '16', '3', '1', '2', '4', '5', '18', '0.75']"
2015-16,Playoffs,150,Tyler Zeller,"['BOS', '3', '38', '7', '15', '0.467', '0', '0', '0.0', '4', '6', '0.667', '4', '11', '15', '2', '0', '2', '2', '1', '18', '1.0']"
2015-16,Playoffs,154,Dahntay Jones,"['CLE', '15', '50', '6', '13', '0.462', '1', '3', '0.333', '4', '5', '0.8', '0', '7', '7', '2', '1', '1', '1', '3', '17', '2.0']"
2015-16,Playoffs,155,Dorell Wright,"['MIA', '5', '19', '5', '10', '0.5', '2', '5', '0.4', '4', '4', '1.0', '0', '6', '6', '2', '0', '0', '0', '2', '16', '0.0']"
2015-16,Playoffs,155,Josh Smith,"['HOU', '4', '38', '6', '13', '0.462', '4', '8', '0.5', '0', '2', '0.0', '1', '1', '2', '4', '1', '1', '5', '7', '16', '0.8']"
2015-16,Playoffs,155,Ty Lawson,"['IND', '7', '74', '6', '18', '0.333', '0', '3', '0.0', '4', '6', '0.667', '1', '6', '7', '10', '3', '0', '6', '8', '16', '1.67']"
2015-16,Playoffs,155,Wesley Johnson,"['LAC', '6', '77', '5', '14', '0.357', '3', '9', '0.333', '3', '3', '1.0', '5', '13', '18', '2', '1', '4', '2', '6', '16', '1.0']"
2015-16,Playoffs,159,Chris Andersen,"['MEM', '4', '79', '5', '12', '0.417', '0', '0', '0.0', '5', '8', '0.625', '13', '18', '31', '3', '2', '3', '5', '4', '15', '0.6']"
2015-16,Playoffs,159,Deron Williams,"['DAL', '3', '49', '6', '18', '0.333', '3', '7', '0.429', '0', '0', '0.0', '0', '2', '2', '8', '1', '0', '7', '6', '15', '1.14']"
2015-16,Playoffs,159,Timofey Mozgov,"['CLE', '13', '76', '6', '15', '0.4', '0', '0', '0.0', '3', '4', '0.75', '5', '16', '21', '2', '3', '3', '8', '16', '15', '0.25']"
2015-16,Playoffs,162,Chris Kaman,"['POR', '4', '32', '7', '18', '0.389', '0', '0', '0.0', '0', '0', '0.0', '2', '6', '8', '1', '2', '0', '6', '10', '14', '0.17']"
2015-16,Playoffs,162,Delon Wright,"['TOR', '9', '41', '3', '10', '0.3', '0', '1', '0.0', '8', '13', '0.615', '1', '3', '4', '3', '3', '0', '2', '2', '14', '1.5']"
2015-16,Playoffs,164,David Lee,"['DAL', '2', '33', '6', '8', '0.75', '0', '0', '0.0', '0', '0', '0.0', '1', '5', '6', '1', '0', '0', '0', '7', '12', '0.0']"
2015-16,Playoffs,164,Reggie Bullock Jr.,"['DET', '2', '22', '5', '6', '0.833', '2', '3', '0.667', '0', '0', '0.0', '0', '2', '2', '3', '1', '0', '0', '2', '12', '0.0']"
2015-16,Playoffs,166,Jeremy Lamb,"['CHA', '3', '12', '5', '9', '0.556', '1', '1', '1.0', '0', '0', '0.0', '1', '3', '4', '1', '0', '0', '0', '0', '11', '0.0']"
2015-16,Playoffs,166,Jonathon Simmons,"['SAS', '3', '26', '4', '10', '0.4', '2', '3', '0.667', '1', '2', '0.5', '3', '1', '4', '2', '2', '0', '1', '4', '11', '2.0']"
2015-16,Playoffs,168,Aron Baynes,"['DET', '4', '44', '4', '9', '0.444', '0', '0', '0.0', '2', '3', '0.667', '3', '5', '8', '2', '0', '0', '3', '4', '10', '0.67']"
2015-16,Playoffs,169,Andre Miller,"['SAS', '5', '35', '3', '7', '0.429', '1', '3', '0.333', '2', '2', '1.0', '2', '3', '5', '7', '0', '0', '0', '4', '9', '0.0']"
2015-16,Playoffs,169,Charlie Villanueva,"['DAL', '4', '20', '3', '12', '0.25', '1', '5', '0.2', '2', '2', '1.0', '0', '2', '2', '1', '0', '0', '1', '2', '9', '1.0']"
2015-16,Playoffs,169,Jarell Martin,"['MEM', '2', '46', '3', '8', '0.375', '0', '0', '0.0', '3', '6', '0.5', '4', '3', '7', '1', '3', '0', '3', '4', '9', '0.33']"
2015-16,Playoffs,169,Joe Young,"['IND', '4', '10', '3', '8', '0.375', '1', '4', '0.25', '2', '2', '1.0', '0', '1', '1', '1', '0', '0', '2', '3', '9', '0.5']"
2015-16,Playoffs,169,Jordan McRae,"['CLE', '2', '4', '4', '4', '1.0', '1', '1', '1.0', '0', '0', '0.0', '0', '2', '2', '0', '0', '0', '0', '0', '9', '0.0']"
2015-16,Playoffs,169,KJ McDaniels,"['HOU', '4', '34', '4', '13', '0.308', '1', '3', '0.333', '0', '0', '0.0', '1', '6', '7', '1', '0', '3', '0', '3', '9', '0.0']"
2015-16,Playoffs,169,Luc Mbah a Moute,"['LAC', '5', '78', '4', '6', '0.667', '0', '0', '0.0', '1', '1', '1.0', '2', '8', '10', '1', '3', '0', '2', '9', '9', '0.5']"
2015-16,Playoffs,169,Nick Collison,"['OKC', '9', '79', '4', '6', '0.667', '0', '0', '0.0', '1', '2', '0.5', '3', '8', '11', '5', '8', '0', '1', '17', '9', '5.0']"
2015-16,Playoffs,177,Brian Roberts,"['POR', '10', '36', '2', '9', '0.222', '0', '4', '0.0', '4', '6', '0.667', '1', '0', '1', '3', '0', '0', '1', '5', '8', '3.0']"
2015-16,Playoffs,177,Clint Capela,"['HOU', '5', '43', '3', '9', '0.333', '0', '0', '0.0', '2', '5', '0.4', '8', '12', '20', '2', '3', '2', '3', '5', '8', '0.67']"
2015-16,Playoffs,177,Jason Thompson,"['TOR', '10', '55', '4', '9', '0.444', '0', '1', '0.0', '0', '3', '0.0', '6', '5', '11', '1', '0', '1', '1', '6', '8', '1.0']"
2015-16,Playoffs,177,Kyle Singler,"['OKC', '6', '51', '3', '9', '0.333', '2', '4', '0.5', '0', '2', '0.0', '1', '6', '7', '0', '1', '0', '0', '4', '8', '0.0']"
2015-16,Playoffs,177,Luis Montero,"['POR', '6', '8', '3', '3', '1.0', '2', '2', '1.0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '1', '8', '0.0']"
2015-16,Playoffs,177,Pat Connaughton,"['POR', '6', '8', '3', '5', '0.6', '2', '3', '0.667', '0', '0', '0.0', '0', '1', '1', '0', '0', '0', '0', '0', '8', '0.0']"
2015-16,Playoffs,183,Glenn Robinson III,"['IND', '4', '10', '3', '4', '0.75', '0', '0', '0.0', '1', '1', '1.0', '0', '0', '0', '0', '0', '1', '0', '0', '7', '0.0']"
2015-16,Playoffs,184,Andrew Goudelock,"['HOU', '2', '11', '3', '6', '0.5', '0', '1', '0.0', '0', '0', '0.0', '0', '2', '2', '0', '0', '0', '3', '0', '6', '0.0']"
2015-16,Playoffs,184,James Jones,"['CLE', '12', '55', '2', '10', '0.2', '1', '7', '0.143', '1', '4', '0.25', '1', '3', '4', '3', '0', '0', '1', '3', '6', '3.0']"
2015-16,Playoffs,184,Lamar Patterson,"['ATL', '4', '20', '2', '7', '0.286', '1', '3', '0.333', '1', '1', '1.0', '0', '5', '5', '3', '1', '0', '4', '1', '6', '0.75']"
2015-16,Playoffs,184,Lavoy Allen,"['IND', '6', '51', '3', '10', '0.3', '0', '0', '0.0', '0', '0', '0.0', '4', '10', '14', '2', '1', '1', '1', '2', '6', '2.0']"
2015-16,Playoffs,184,Lucas Nogueira,"['TOR', '5', '29', '3', '4', '0.75', '0', '0', '0.0', '0', '0', '0.0', '1', '7', '8', '0', '0', '0', '0', '3', '6', '0.0']"
2015-16,Playoffs,184,Paul Pierce,"['LAC', '5', '54', '2', '12', '0.167', '1', '5', '0.2', '1', '4', '0.25', '0', '6', '6', '1', '2', '0', '2', '6', '6', '0.5']"
2015-16,Playoffs,190,James Michael McAdoo,"['GSW', '8', '38', '2', '4', '0.5', '0', '0', '0.0', '1', '4', '0.25', '0', '8', '8', '2', '3', '2', '1', '6', '5', '2.0']"
2015-16,Playoffs,190,Kirk Hinrich,"['ATL', '6', '27', '2', '7', '0.286', '1', '3', '0.333', '0', '0', '0.0', '0', '4', '4', '3', '0', '0', '0', '2', '5', '0.0']"
2015-16,Playoffs,190,PJ Hairston,"['MEM', '2', '22', '2', '6', '0.333', '1', '3', '0.333', '0', '2', '0.0', '0', '0', '0', '0', '1', '0', '1', '1', '5', '0.0']"
2015-16,Playoffs,190,RJ Hunter,"['BOS', '5', '41', '2', '9', '0.222', '1', '5', '0.2', '0', '0', '0.0', '1', '5', '6', '3', '0', '1', '1', '3', '5', '3.0']"
2015-16,Playoffs,194,Anthony Tolliver,"['DET', '3', '26', '2', '4', '0.5', '0', '2', '0.0', '0', '0', '0.0', '1', '3', '4', '1', '0', '1', '0', '0', '4', '0.0']"
2015-16,Playoffs,194,JaVale McGee,"['DAL', '2', '14', '1', '2', '0.5', '0', '0', '0.0', '2', '6', '0.333', '2', '1', '3', '0', '1', '0', '3', '3', '4', '0.0']"
2015-16,Playoffs,194,Jordan Mickey,"['BOS', '2', '10', '2', '4', '0.5', '0', '0', '0.0', '0', '0', '0.0', '1', '1', '2', '2', '0', '1', '0', '0', '4', '0.0']"
